"Player";"Points"
"Hel G";"52520"
"Henrik";"49761"
"albert";"47134"
"Martin";"47107"
"Adrian";"45864"
"Sofie";"45530"
"Daniel ER";"44874"
"Prebz";"43971"
"Børrud";"43229"
"Erik";"42577"
"Oddvar";"42185"
"Matilde";"42033"
"Johannes";"41853"
"Aleks";"41695"
"Egil";"41447"
"SH";"41070"
"Oscar";"40307"
"Eirik";"39888"
"Akhil";"39228"
"Jesper";"38559"
"davidhne";"37605"
"Stine";"36836"
"Clemens";"36724"
"Kasper";"36412"
"Celine";"36353"
"Jonas";"36035"
"Lea T";"35669"
"Stian";"34474"
"Leo";"34003"
"Anton";"33950"
"Ivan";"33756"
"Wilhelm";"33391"
"Punzie";"32042"
"Sollie";"30690"
"Meow";"30077"
"Martine";"29970"
"Adele";"29436"
"Linde";"28913"
"Hannah";"28701"
"Line Sofie";"28138"
"Sigurd";"28059"
"Lea";"27695"
"Jenz";"27205"
"Amalie";"25066"
"Leona";"24564"
"SivertE";"23824"
"tara";"23542"
"Philip";"22864"
"Uros";"22827"
"Olivia";"22110"
"Ronny";"21889"
"Isabella";"21212"
"Rishi";"20586"
"pop";"18727"
"Zeynep";"17924"
"JJ";"17100"
"Lenny";"16766"
"DavidR";"16678"
"Sander B";"12264"
"AZC";"10914"
"Tomat";"10504"
"VA";"8949"
"Sai";"8428"
"Meno";"8113"
"Mikkel";"7510"
"Rob";"7134"
"Ilse";"7050"
"Kevin";"7050"
"Ayse Zeynep";"6934"
"r0b";"6595"
"Vittorio";"6464"
"Ingri";"6235"
"Kristine";"4766"
"DVD";"3538"
"Test123";"2825"
"Bro";"1683"
"AZ";"1329"
"Sivert E";"909"
"Hei tor ivar";"0"
"Martini";"0"
"Kahoot";"0"
"Ekte kar";"0"
"nik";"0"
"Sivert";"0"
"Namibia";"0"
"SivertEikrem";"0"
